group,TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
D,7,Pre,4,Kate covered the lion with the water,covered,lion,water,Sentence,1,InstControl,katelionwater_nopauses.mp3,katelionwaterinstright.png,katelionwatermodleft.png,katelionwaterinstright.png,katelionwatermodleft.png,1,inst,mod,L,R,430,2637,0.107313462,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katelionwaterinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katelionwatermodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katelionwater_nopauses.mp3?raw=true
D,8,Pre,42,Kate hammered the turtle with the horseshoe,hammered,turtle,horseshoe,Sentence,1,InstControl,kateturtlehorseshoe_nopauses.mp3,kateturtlehorseshoeinstleft.png,kateturtlehorseshoemodright.png,kateturtlehorseshoemodright.png,kateturtlehorseshoeinstleft.png,2,mod,inst,R,L,453,3023,0.118277047,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlehorseshoemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlehorseshoeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kateturtlehorseshoe_nopauses.mp3?raw=true
D,9,Pre,61,Tom scratched the dolphin with the sandpaper,scratched,dolphin,sandpaper,Sentence,1,InstControl,tomdolphinsandpaper_nopauses.mp3,tomdolphinsandpaperinstright.png,tomdolphinsandpapermodleft.png,tomdolphinsandpaperinstright.png,tomdolphinsandpapermodleft.png,1,inst,mod,L,R,545,3575,0.146756411,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinsandpaperinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinsandpapermodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomdolphinsandpaper_nopauses.mp3?raw=true
D,10,Pre,7,Tom covered the pig with the fern,covered,pig,fern,Sentence,1,InstControl,tompigfern_nopauses.mp3,tompigferninstleft.png,tompigfernmodright.png,tompigfernmodright.png,tompigferninstleft.png,2,mod,inst,R,L,568,2711,0.16517133,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tompigfernmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tompigferninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tompigfern_nopauses.mp3?raw=true
D,11,Pre,57,Tom tapped the whale with the magic wand,tapped,whale,magic wand,Sentence,1,InstControl,tomwhalemagicwand_nopauses.mp3,tomwhalemagicwandinstleft.png,tomwhalemagicwandmodright.png,tomwhalemagicwandmodright.png,tomwhalemagicwandinstleft.png,2,mod,inst,R,L,601,3184,0.173913182,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhalemagicwandmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhalemagicwandinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomwhalemagicwand_nopauses.mp3?raw=true
D,12,Pre,40,Kate hammered the lion with the horseshoe,hammered,lion,horseshoe,Sentence,1,InstControl,katelionhorseshoe_nopauses.mp3,katelionhorseshoeinstleft.png,katelionhorseshoemodright.png,katelionhorseshoemodright.png,katelionhorseshoeinstleft.png,2,mod,inst,R,L,454,3161,0.184405261,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katelionhorseshoemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katelionhorseshoeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katelionhorseshoe_nopauses.mp3?raw=true
D,13,Pre,37,Tom hammered the dolphin with the horseshoe,hammered,dolphin,horseshoe,Sentence,1,InstControl,tomdolphinhorseshoe_nopauses.mp3,tomdolphinhorseshoeinstright.png,tomdolphinhorseshoemodleft.png,tomdolphinhorseshoeinstright.png,tomdolphinhorseshoemodleft.png,1,inst,mod,L,R,559,3186,0.207483398,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinhorseshoeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinhorseshoemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomdolphinhorseshoe_nopauses.mp3?raw=true
D,14,Pre,44,Kate hammered the girl with the rock,hammered,girl,rock,Sentence,1,InstControl,kategirlrock_nopauses.mp3,kategirlrockinstleft.png,kategirlrockmodright.png,kategirlrockmodright.png,kategirlrockinstleft.png,2,mod,inst,R,L,426,2719,0.21430268,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategirlrockmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategirlrockinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kategirlrock_nopauses.mp3?raw=true
D,15,Pre,24,Kate hit the hawk with the oven mitt,hit,hawk,oven mitt,Sentence,1,InstControl,katehawkovenmitt_nopauses.mp3,katehawkovenmittinstleft.png,katehawkovenmittmodright.png,katehawkovenmittmodright.png,katehawkovenmittinstleft.png,2,mod,inst,R,L,375,2232,0.218395793,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katehawkovenmittmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katehawkovenmittinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katehawkovenmitt_nopauses.mp3?raw=true
D,16,Pre,33,Tom knocked on the whale with the tomato,knocked on,whale,tomato,Sentence,1,InstControl,tomwhaletomato_nopauses.mp3,tomwhaletomatoinstleft.png,tomwhaletomatomodright.png,tomwhaletomatomodright.png,tomwhaletomatoinstleft.png,2,mod,inst,R,L,548,3030,0.218685997,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhaletomatomodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhaletomatoinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomwhaletomato_nopauses.mp3?raw=true
