Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
D,Pre,113,Kate stung the frog with the lightning bolt,stung,frog,lightning bolt,frogoar,Sentence,2,InstControl,katefroglightningbolt_nopauses.mp3,katefroglightningboltinstleft2_context.png,katefroglightningboltmodright2_context.png,katefroglightningboltmodright2_context.png,katefroglightningboltinstleft2_context.png,2,mod,inst,R,L,337,3089,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefroglightningboltmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefroglightningboltinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefroglightningbolt_nopauses.mp3?raw=true,0.205953539
D,Pre,85,Kate rubbed the dolphin with the soap,rubbed,dolphin,soap,dolphinoar,Sentence,2,InstControl,katedolphinsoap_nopauses.mp3,katedolphinsoapinstleft2_context.png,katedolphinsoapmodright2_context.png,katedolphinsoapmodright2_context.png,katedolphinsoapinstleft2_context.png,2,mod,inst,R,L,333,2484,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinsoapmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinsoapinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katedolphinsoap_nopauses.mp3?raw=true,0.213785311
D,Pre,106,Tom crushed the gorilla with the pear,crushed,gorilla,pear,gorillamallet,Sentence,2,InstControl,tomgorillapear_nopauses.mp3,tomgorillapearinstleft2_context.png,tomgorillapearmodright2_context.png,tomgorillapearmodright2_context.png,tomgorillapearinstleft2_context.png,2,mod,inst,R,L,553,2843,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillapearmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillapearinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgorillapear_nopauses.mp3?raw=true,0.218363814
D,Pre,23,Kate hit the buffalo with the ball,hit,buffalo,ball,buffalotennisracket,Sentence,2,InstControl,katebuffaloball_nopauses.mp3,katebuffaloballinstleft2_context.png,katebuffaloballmodright2_context.png,katebuffaloballmodright2_context.png,katebuffaloballinstleft2_context.png,2,mod,inst,R,L,376,2218,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffaloballmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffaloballinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katebuffaloball_nopauses.mp3?raw=true,0.231747787
D,Pre,19,Kate hit the pig with the ball,hit,pig,ball,pigtennisracket,Sentence,2,InstControl,katepigball_nopauses.mp3,katepigballinstleft2_context.png,katepigballmodright2_context.png,katepigballmodright2_context.png,katepigballinstleft2_context.png,2,mod,inst,R,L,383,2118,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigballmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigballinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigball_nopauses.mp3?raw=true,0.23569294
D,Pre,87,Kate rubbed the fox with the soap,rubbed,fox,soap,foxoar,Sentence,2,InstControl,katefoxsoap_nopauses.mp3,katefoxsoapinstleft2_context.png,katefoxsoapmodright2_context.png,katefoxsoapmodright2_context.png,katefoxsoapinstleft2_context.png,2,mod,inst,R,L,375,2591,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxsoapmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxsoapinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxsoap_nopauses.mp3?raw=true,0.236054856
D,Pre,17,Kate hit the frog with the oven mitt,hit,frog,oven mitt,frogoar,Sentence,2,InstControl,katefrogovenmitt_nopauses.mp3,katefrogovenmittinstleft2_context.png,katefrogovenmittmodright2_context.png,katefrogovenmittmodright2_context.png,katefrogovenmittinstleft2_context.png,2,mod,inst,R,L,380,2401,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogovenmittmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogovenmittinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefrogovenmitt_nopauses.mp3?raw=true,0.247245502
D,Pre,36,Tom knocked on the hawk with the cucumber,knocked on,hawk,cucumber,hawkmallet,Sentence,2,InstControl,tomhawkcucumber_nopauses.mp3,tomhawkcucumberinstleft2_context.png,tomhawkcucumbermodright2_context.png,tomhawkcucumbermodright2_context.png,tomhawkcucumberinstleft2_context.png,2,mod,inst,R,L,544,3129,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawkcucumbermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawkcucumberinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomhawkcucumber_nopauses.mp3?raw=true,0.250253359
D,Pre,35,Kate knocked on the buffalo with the cucumber,knocked on,buffalo,cucumber,buffalomallet,Sentence,2,InstControl,katebuffalocucumber_nopauses.mp3,katebuffalocucumberinstright2_context.png,katebuffalocucumbermodleft2_context.png,katebuffalocucumberinstright2_context.png,katebuffalocucumbermodleft2_context.png,1,inst,mod,L,R,405,3114,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalocucumberinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalocucumbermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katebuffalocucumber_nopauses.mp3?raw=true,0.256444554
D,Pre,91,Kate rubbed the pig with the eraser,rubbed,pig,eraser,pigtennisracket,Sentence,2,InstControl,katepigeraser_nopauses.mp3,katepigeraserinstleft2_context.png,katepigerasermodright2_context.png,katepigerasermodright2_context.png,katepigeraserinstleft2_context.png,2,mod,inst,R,L,382,2889,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigerasermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigeraserinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigeraser_nopauses.mp3?raw=true,0.26862301
