group,TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
B,21,Post,66,Tom inspected the turtle with the microscope,inspected,turtle,microscope,Sentence,1,ModControl,tomturtlemicroscope_nopauses.mp3,tomturtlemicroscopemodleft.png,tomturtlemicroscopeinstright.png,tomturtlemicroscopeinstright.png,tomturtlemicroscopemodleft.png,2,inst,mod,L,R,521,3091,0.298463153,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlemicroscopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlemicroscopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomturtlemicroscope_nopauses.mp3?raw=true
B,22,Post,54,Tom glanced at the turtle with the mirror,glanced,turtle,mirror,Sentence,1,ModControl,tomturtlemirror_nopauses.mp3,tomturtlemirrormodright.png,tomturtlemirrorinstleft.png,tomturtlemirrormodright.png,tomturtlemirrorinstleft.png,1,mod,inst,R,L,577,2857,0.342061104,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlemirrormodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlemirrorinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomturtlemirror_nopauses.mp3?raw=true
B,23,Post,43,Kate chose the pig with the pen,chose,pig,pen,Sentence,1,ModControl,katepigpen_nopauses.mp3,katepigpenmodright.png,katepigpeninstleft.png,katepigpenmodright.png,katepigpeninstleft.png,1,mod,inst,R,L,447,2446,0.365992509,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigpenmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigpeninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katepigpen_nopauses.mp3?raw=true
B,24,Post,14,Tom felt the cow with the cloth,felt,cow,cloth,Sentence,1,ModControl,tomcowcloth_nopauses.mp3,tomcowclothmodleft.png,tomcowclothinstright.png,tomcowclothinstright.png,tomcowclothmodleft.png,2,inst,mod,L,R,540,2319,0.383375192,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowclothinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowclothmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomcowcloth_nopauses.mp3?raw=true
B,25,Post,51,Kate glanced at the fox with the mirror,glanced,fox,mirror,Sentence,1,ModControl,katefoxmirror_nopauses.mp3,katefoxmirrormodleft.png,katefoxmirrorinstright.png,katefoxmirrorinstright.png,katefoxmirrormodleft.png,2,inst,mod,L,R,383,2728,0.403281139,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxmirrorinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxmirrormodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefoxmirror_nopauses.mp3?raw=true
B,26,Post,69,Kate inspected the whale with the telescope,inspected,whale,telescope,Sentence,1,ModControl,katewhaletelescope_nopauses.mp3,katewhaletelescopemodright.png,katewhaletelescopeinstleft.png,katewhaletelescopemodright.png,katewhaletelescopeinstleft.png,1,mod,inst,R,L,410,2847,0.411236178,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhaletelescopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhaletelescopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katewhaletelescope_nopauses.mp3?raw=true
B,27,Post,36,Tom moved the hawk with the tree branch,moved,hawk,treebranch,Sentence,1,ModControl,tomhawktreebranch_nopauses.mp3,tomhawktreebranchmodright.png,tomhawktreebranchinstleft.png,tomhawktreebranchmodright.png,tomhawktreebranchinstleft.png,1,mod,inst,R,L,506,2864,0.417252503,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawktreebranchmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawktreebranchinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomhawktreebranch_nopauses.mp3?raw=true
B,28,Post,8,Tom located the girl with the magnifying glass,located,girl,magnifyingglass,Sentence,1,ModControl,tomgirlmagnifyingglass_nopauses.mp3,tomgirlmagnifyingglassmodright.png,tomgirlmagnifyingglassinstleft.png,tomgirlmagnifyingglassmodright.png,tomgirlmagnifyingglassinstleft.png,1,mod,inst,R,L,517,3762,0.420234079,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirlmagnifyingglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirlmagnifyingglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgirlmagnifyingglass_nopauses.mp3?raw=true
B,29,Post,6,Tom located the turtle with the glasses,located,turtle,glasses,Sentence,1,ModControl,tomturtleglasses_nopauses.mp3,tomturtleglassesmodright.png,tomturtleglassesinstleft.png,tomturtleglassesmodright.png,tomturtleglassesinstleft.png,1,mod,inst,R,L,649,3064,0.432548184,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtleglassesmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtleglassesinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomturtleglasses_nopauses.mp3?raw=true
B,30,Post,35,Kate moved the buffalo with the tree branch,moved,buffalo,treebranch,Sentence,1,ModControl,katebuffalotreebranch_nopauses.mp3,katebuffalotreebranchmodleft.png,katebuffalotreebranchinstright.png,katebuffalotreebranchinstright.png,katebuffalotreebranchmodleft.png,2,inst,mod,L,R,431,2928,0.432825043,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalotreebranchinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalotreebranchmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katebuffalotreebranch_nopauses.mp3?raw=true
