Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
B,Pre,60,Tom tapped the hawk with the boots,tapped,hawk,boots,hawkmallet,Sentence,2,Inst,tomhawkboots_nopauses.mp3,tomhawkbootsinstleft2_context.png,tomhawkbootsmodright2_context.png,tomhawkbootsmodright2_context.png,tomhawkbootsinstleft2_context.png,2,mod,inst,R,L,570,2495,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawkbootsmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawkbootsinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomhawkboots_nopauses.mp3?raw=true,0.259746571
B,Pre,75,Kate jabbed the fox with the stick of celery,jabbed,fox,stick of celery,foxladle,Sentence,2,Inst,katefoxcelery_nopauses.mp3,katefoxceleryinstright2_context.png,katefoxcelerymodleft2_context.png,katefoxceleryinstright2_context.png,katefoxcelerymodleft2_context.png,1,inst,mod,L,R,354,3370,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxceleryinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxcelerymodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxcelery_nopauses.mp3?raw=true,0.260553343
B,Pre,19,Kate hit the pig with the ball,hit,pig,ball,pigtennisracket,Sentence,2,Inst,katepigball_nopauses.mp3,katepigballinstleft2_context.png,katepigballmodright2_context.png,katepigballmodright2_context.png,katepigballinstleft2_context.png,2,mod,inst,R,L,383,2118,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigballmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigballinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigball_nopauses.mp3?raw=true,0.261849642
B,Pre,99,Kate crushed the fox with the flower,crushed,fox,flower,foxladle,Sentence,2,Inst,katefoxflower_nopauses.mp3,katefoxflowerinstright2_context.png,katefoxflowermodleft2_context.png,katefoxflowerinstright2_context.png,katefoxflowermodleft2_context.png,1,inst,mod,L,R,386,2721,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxflowerinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxflowermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxflower_nopauses.mp3?raw=true,0.265241807
B,Pre,41,Kate hammered the frog with the rock,hammered,frog,rock,frogoar,Sentence,2,Inst,katefrogrock_nopauses.mp3,katefrogrockinstleft2_context.png,katefrogrockmodright2_context.png,katefrogrockmodright2_context.png,katefrogrockinstleft2_context.png,2,mod,inst,R,L,413,2601,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogrockmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogrockinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefrogrock_nopauses.mp3?raw=true,0.282794033
B,Pre,123,Kate slapped the fox with the net,slapped,fox,net,foxladle,Sentence,2,Inst,katefoxnet_nopauses.mp3,katefoxnetinstright2_context.png,katefoxnetmodleft2_context.png,katefoxnetinstright2_context.png,katefoxnetmodleft2_context.png,1,inst,mod,L,R,412,2869,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxnetinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxnetmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxnet_nopauses.mp3?raw=true,0.282896276
B,Pre,6,Tom covered the turtle with the fern,covered,turtle,fern,turtleladle,Sentence,2,Inst,tomturtlefern_nopauses.mp3,tomturtleferninstleft2_context.png,tomturtlefernmodright2_context.png,tomturtlefernmodright2_context.png,tomturtleferninstleft2_context.png,2,mod,inst,R,L,602,2987,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomturtlefernmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomturtleferninstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomturtlefern_nopauses.mp3?raw=true,0.290448469
B,Pre,63,Kate scratched the fox with the coral,scratched,fox,coral,foxoar,Sentence,2,Inst,katefoxcoral_nopauses.mp3,katefoxcoralinstleft2_context.png,katefoxcoralmodright2_context.png,katefoxcoralmodright2_context.png,katefoxcoralinstleft2_context.png,2,mod,inst,R,L,399,2756,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxcoralmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxcoralinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxcoral_nopauses.mp3?raw=true,0.300845875
B,Pre,7,Kate covered the pig with the water,covered,pig,water,pigmallet,Sentence,2,Inst,katepigwater_nopauses.mp3,katepigwaterinstright2_context.png,katepigwatermodleft2_context.png,katepigwaterinstright2_context.png,katepigwatermodleft2_context.png,1,inst,mod,L,R,358,2384,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigwaterinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigwatermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigwater_nopauses.mp3?raw=true,0.309031187
B,Pre,76,Tom jabbed the lion with the stick of celery,jabbed,lion,stick of celery,lionladle,Sentence,2,Inst,tomlioncelery_nopauses.mp3,tomlionceleryinstleft2_context.png,tomlioncelerymodright2_context.png,tomlioncelerymodright2_context.png,tomlionceleryinstleft2_context.png,2,mod,inst,R,L,695,3731,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlioncelerymodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionceleryinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomlioncelery_nopauses.mp3?raw=true,0.314412442
B,Pre,20,Tom hit the girl with the ball,hit,girl,ball,girltennisracket,Sentence,2,Inst,tomgirlball_nopauses.mp3,tomgirlballinstright2_context.png,tomgirlballmodleft2_context.png,tomgirlballinstright2_context.png,tomgirlballmodleft2_context.png,1,inst,mod,L,R,521,2287,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlballinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlballmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgirlball_nopauses.mp3?raw=true,0.316228842
B,Pre,23,Kate hit the buffalo with the ball,hit,buffalo,ball,buffalotennisracket,Sentence,2,Inst,katebuffaloball_nopauses.mp3,katebuffaloballinstleft2_context.png,katebuffaloballmodright2_context.png,katebuffaloballmodright2_context.png,katebuffaloballinstleft2_context.png,2,mod,inst,R,L,376,2218,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffaloballmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffaloballinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katebuffaloball_nopauses.mp3?raw=true,0.321617785
B,Pre,79,Kate jabbed the pig with the carrot,jabbed,pig,carrot,pigmallet,Sentence,2,Inst,katepigcarrot_nopauses.mp3,katepigcarrotinstright2_context.png,katepigcarrotmodleft2_context.png,katepigcarrotinstright2_context.png,katepigcarrotmodleft2_context.png,1,inst,mod,L,R,394,2843,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigcarrotinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigcarrotmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigcarrot_nopauses.mp3?raw=true,0.325731523
B,Pre,52,Tom tapped the lion with the magic wand,tapped,lion,magic wand,lionladle,Sentence,2,Inst,tomlionmagicwand_nopauses.mp3,tomlionmagicwandinstleft2_context.png,tomlionmagicwandmodright2_context.png,tomlionmagicwandmodright2_context.png,tomlionmagicwandinstleft2_context.png,2,mod,inst,R,L,512,3209,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionmagicwandmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionmagicwandinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomlionmagicwand_nopauses.mp3?raw=true,0.335716098
B,Pre,16,Tom hit the lion with the oven mitt,hit,lion,oven mitt,lionoar,Sentence,2,Inst,tomlionovenmitt_nopauses.mp3,tomlionovenmittinstright2_context.png,tomlionovenmittmodleft2_context.png,tomlionovenmittinstright2_context.png,tomlionovenmittmodleft2_context.png,1,inst,mod,L,R,500,2483,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionovenmittinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionovenmittmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomlionovenmitt_nopauses.mp3?raw=true,0.336364454
B,Pre,136,Tom smashed the lion with the bowl,smashed,lion,bowl,lionoar,Sentence,2,Inst,tomlionbowl_nopauses.mp3,tomlionbowlinstright2_context.png,tomlionbowlmodleft2_context.png,tomlionbowlinstright2_context.png,tomlionbowlmodleft2_context.png,1,inst,mod,L,R,587,3227,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionbowlinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionbowlmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomlionbowl_nopauses.mp3?raw=true,0.340630408
