Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
C,Post,57,Kate tapped the whale with the boots,tapped,whale,boots,whaleladle,Sentence,1,InstControl,katewhaleboots_nopauses.mp3,katewhalebootsinstright_context.png,katewhalebootsmodleft_context.png,katewhalebootsinstright_context.png,katewhalebootsmodleft_context.png,1,inst,mod,L,R,380,2500,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalebootsinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalebootsmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katewhaleboots_nopauses.mp3?raw=true,0.619697943
C,Post,99,Kate crushed the fox with the flower,crushed,fox,flower,foxmallet,Sentence,1,InstControl,katefoxflower_nopauses.mp3,katefoxflowerinstright_context.png,katefoxflowermodleft_context.png,katefoxflowerinstright_context.png,katefoxflowermodleft_context.png,1,inst,mod,L,R,386,2721,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxflowerinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxflowermodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefoxflower_nopauses.mp3?raw=true,0.633823448
C,Post,50,Tom tapped the cow with the magic wand,tapped,cow,magic wand,cowmallet,Sentence,1,InstControl,tomcowmagicwand_nopauses.mp3,tomcowmagicwandinstleft_context.png,tomcowmagicwandmodright_context.png,tomcowmagicwandmodright_context.png,tomcowmagicwandinstleft_context.png,2,mod,inst,R,L,550,3120,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowmagicwandmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowmagicwandinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomcowmagicwand_nopauses.mp3?raw=true,0.650880456
C,Post,64,Tom scratched the lion with the coral,scratched,lion,coral,liontennisracket,Sentence,1,InstControl,tomlioncoral_nopauses.mp3,tomlioncoralinstright_context.png,tomlioncoralmodleft_context.png,tomlioncoralinstright_context.png,tomlioncoralmodleft_context.png,1,inst,mod,L,R,537,2890,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlioncoralinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlioncoralmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomlioncoral_nopauses.mp3?raw=true,0.65520761
C,Post,12,Tom covered the hawk with the water,covered,hawk,water,hawkladle,Sentence,1,InstControl,tomhawkwater_nopauses.mp3,tomhawkwaterinstleft_context.png,tomhawkwatermodright_context.png,tomhawkwatermodright_context.png,tomhawkwaterinstleft_context.png,2,mod,inst,R,L,532,2451,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkwatermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkwaterinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomhawkwater_nopauses.mp3?raw=true,0.659317628
C,Post,22,Tom hit the gorilla with the ball,hit,gorilla,ball,gorillaoar,Sentence,1,InstControl,tomgorillaball_nopauses.mp3,tomgorillaballinstright_context.png,tomgorillaballmodleft_context.png,tomgorillaballinstright_context.png,tomgorillaballmodleft_context.png,1,inst,mod,L,R,501,2247,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgorillaballinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgorillaballmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomgorillaball_nopauses.mp3?raw=true,0.663315494
C,Post,98,Tom crushed the cow with the flower,crushed,cow,flower,cowmallet,Sentence,1,InstControl,tomcowflower_nopauses.mp3,tomcowflowerinstleft_context.png,tomcowflowermodright_context.png,tomcowflowermodright_context.png,tomcowflowerinstleft_context.png,2,mod,inst,R,L,576,2878,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowflowermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowflowerinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomcowflower_nopauses.mp3?raw=true,0.673153617
C,Post,120,Tom stung the hawk with the cactus,stung,hawk,cactus,hawkoar,Sentence,1,InstControl,tomhawkcactus_nopauses.mp3,tomhawkcactusinstright_context.png,tomhawkcactusmodleft_context.png,tomhawkcactusinstright_context.png,tomhawkcactusmodleft_context.png,1,inst,mod,L,R,625,3169,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkcactusinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkcactusmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomhawkcactus_nopauses.mp3?raw=true,0.675895101
C,Post,54,Tom tapped the turtle with the magic wand,tapped,turtle,magic wand,turtlemallet,Sentence,1,InstControl,tomturtlemagicwand_nopauses.mp3,tomturtlemagicwandinstleft_context.png,tomturtlemagicwandmodright_context.png,tomturtlemagicwandmodright_context.png,tomturtlemagicwandinstleft_context.png,2,mod,inst,R,L,502,3084,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomturtlemagicwandmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomturtlemagicwandinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomturtlemagicwand_nopauses.mp3?raw=true,0.678910624
C,Post,91,Kate rubbed the pig with the eraser,rubbed,pig,eraser,pigoar,Sentence,1,InstControl,katepigeraser_nopauses.mp3,katepigeraserinstleft_context.png,katepigerasermodright_context.png,katepigerasermodright_context.png,katepigeraserinstleft_context.png,2,mod,inst,R,L,382,2889,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katepigerasermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katepigeraserinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katepigeraser_nopauses.mp3?raw=true,0.679407996
