TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
120,Training,71,What did Tom use?,inspected,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,chopsticks.png,stick.png,stick.png,chopsticks.png,2,incongruent,congruent,NA,NA,1,1544,0.821267121,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/stick.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/chopsticks.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
121,Training,9,Tom located the whale with the feather,located,whale,feather,Sentence,1,Mod,9,tomwhalefeather_nopauses.mp3,tomwhalefeathermodright.png,tomwhalefeatherinstleft.png,tomwhalefeathermodright.png,tomwhalefeatherinstleft.png,1,mod,inst,R,L,551,2683,0.823828301,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomwhalefeathermodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomwhalefeatherinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomwhalefeather_nopauses.mp3?raw=true
122,Training,9,What did Tom use?,located,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,feather.png,grass.png,feather.png,grass.png,1,congruent,incongruent,NA,NA,1,1544,0.823828301,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/feather.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/grass.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
123,Training,15,Tom felt the fox with the leaf,felt,fox,leaf,Sentence,1,Mod,3,tomfoxleaf_nopauses.mp3,tomfoxleafmodleft.png,tomfoxleafinstright.png,tomfoxleafinstright.png,tomfoxleafmodleft.png,2,inst,mod,L,R,538,1964,0.829585196,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomfoxleafinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomfoxleafmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomfoxleaf_nopauses.mp3?raw=true
124,Training,15,What did Tom use?,felt,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,leaf.png,pillow.png,pillow.png,leaf.png,2,incongruent,congruent,NA,NA,1,1544,0.829585196,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/pillow.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/leaf.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
125,Training,35,Tom moved the buffalo with the pan,moved,buffalo,pan,Sentence,1,Mod,11,tombuffalopan_nopauses.mp3,tombuffalopanmodright.png,tombuffalopaninstleft.png,tombuffalopanmodright.png,tombuffalopaninstleft.png,1,mod,inst,R,L,521,2486,0.843972371,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tombuffalopanmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tombuffalopaninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tombuffalopan_nopauses.mp3?raw=true
126,Training,35,Which toy did Tom move?,moved,NA,NA,Question_Congruent,1,Mod,,whichtoytommove.mp3,buffalopan.png,buffalowateringcan.png,buffalowateringcan.png,buffalopan.png,2,incongruent,congruent,NA,NA,1,1939,0.843972371,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/buffalowateringcan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/buffalopan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whichtoytommove.mp3?raw=true
127,Training,63,Tom inspected the fox with the stick,inspected,fox,stick,Sentence,1,Mod,3,tomfoxstick_nopauses.mp3,tomfoxstickmodleft.png,tomfoxstickinstright.png,tomfoxstickinstright.png,tomfoxstickmodleft.png,2,inst,mod,L,R,504,2674,0.883813247,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomfoxstickinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomfoxstickmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomfoxstick_nopauses.mp3?raw=true
128,Training,63,What did Tom use?,inspected,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,stick.png,chopsticks.png,chopsticks.png,stick.png,2,incongruent,congruent,NA,NA,1,1544,0.883813247,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/chopsticks.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/stick.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
129,Training,46,Kate chose the gorilla with the sticky note,chose,gorilla,sticky note,Sentence,1,Mod,10,kategorillastickynote_nopauses.mp3,kategorillastickynotemodright.png,kategorillastickynoteinstleft.png,kategorillastickynotemodright.png,kategorillastickynoteinstleft.png,1,mod,inst,R,L,407,2452,0.887284571,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategorillastickynotemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategorillastickynoteinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/kategorillastickynote_nopauses.mp3?raw=true
