Group,Block,TrialOrder,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
C,Post,35,65,Kate scratched the frog with the coral,scratched,frog,coral,frogtennisracket,Sentence,1,InstControl,,katefrogcoral_nopauses.mp3,katefrogcoralinstleft_context.png,katefrogcoralmodright_context.png,katefrogcoralmodright_context.png,katefrogcoralinstleft_context.png,2,mod,inst,R,L,357,2745,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefrogcoralmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefrogcoralinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefrogcoral_nopauses.mp3?raw=true,0.233045201
C,Post,36,4,Tom covered the lion with the fern,covered,lion,fern,lionmallet,Sentence,1,InstControl,,tomlionfern_nopauses.mp3,tomlionferninstleft_context.png,tomlionfernmodright_context.png,tomlionfernmodright_context.png,tomlionferninstleft_context.png,2,mod,inst,R,L,605,2902,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionfernmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionferninstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomlionfern_nopauses.mp3?raw=true,0.243403853
C,Post,37,26,Tom knocked on the cow with the tomato,knocked on,cow,tomato,cowmallet,Sentence,1,InstControl,,tomcowtomato_nopauses.mp3,tomcowtomatoinstleft_context.png,tomcowtomatomodright_context.png,tomcowtomatomodright_context.png,tomcowtomatoinstleft_context.png,2,mod,inst,R,L,553,3036,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowtomatomodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowtomatoinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomcowtomato_nopauses.mp3?raw=true,0.244638025
C,Post,38,35,Kate knocked on the buffalo with the cucumber,knocked on,buffalo,cucumber,buffaloladle,Sentence,1,InstControl,,katebuffalocucumber_nopauses.mp3,katebuffalocucumberinstright_context.png,katebuffalocucumbermodleft_context.png,katebuffalocucumberinstright_context.png,katebuffalocucumbermodleft_context.png,1,inst,mod,L,R,405,3114,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalocucumberinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalocucumbermodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katebuffalocucumber_nopauses.mp3?raw=true,0.261084131
C,Post,39,87,Kate rubbed the fox with the soap,rubbed,fox,soap,foxtennisracket,Sentence,1,InstControl,,katefoxsoap_nopauses.mp3,katefoxsoapinstleft_context.png,katefoxsoapmodright_context.png,katefoxsoapmodright_context.png,katefoxsoapinstleft_context.png,2,mod,inst,R,L,375,2591,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxsoapmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxsoapinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefoxsoap_nopauses.mp3?raw=true,0.262917797
C,Post,40,144,Tom smashed the hawk with the flower pot,smashed,hawk,flower pot,hawkoar,Sentence,1,InstControl,,tomhawkflowerpot_nopauses.mp3,tomhawkflowerpotinstright_context.png,tomhawkflowerpotmodleft_context.png,tomhawkflowerpotinstright_context.png,tomhawkflowerpotmodleft_context.png,1,inst,mod,L,R,569,3274,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkflowerpotinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkflowerpotmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomhawkflowerpot_nopauses.mp3?raw=true,0.26466277
C,Post,41,133,Kate smashed the dolphin with the bowl,smashed,dolphin,bowl,dolphintennisracket,Sentence,1,InstControl,,katedolphinbowl_nopauses.mp3,katedolphinbowlinstleft_context.png,katedolphinbowlmodright_context.png,katedolphinbowlmodright_context.png,katedolphinbowlinstleft_context.png,2,mod,inst,R,L,405,2861,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinbowlmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinbowlinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katedolphinbowl_nopauses.mp3?raw=true,0.272865425
C,Post,42,93,Kate rubbed the whale with the eraser,rubbed,whale,eraser,whaleoar,Sentence,1,InstControl,,katewhaleeraser_nopauses.mp3,katewhaleeraserinstleft_context.png,katewhaleerasermodright_context.png,katewhaleerasermodright_context.png,katewhaleeraserinstleft_context.png,2,mod,inst,R,L,391,2930,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhaleerasermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhaleeraserinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katewhaleeraser_nopauses.mp3?raw=true,0.283634064
C,Post,43,43,Kate hammered the pig with the horseshoe,hammered,pig,horseshoe,pigoar,Sentence,1,InstControl,,katepighorseshoe_nopauses.mp3,katepighorseshoeinstleft_context.png,katepighorseshoemodright_context.png,katepighorseshoemodright_context.png,katepighorseshoeinstleft_context.png,2,mod,inst,R,L,388,2748,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katepighorseshoemodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katepighorseshoeinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katepighorseshoe_nopauses.mp3?raw=true,0.287211274
C,Post,44,47,Kate hammered the buffalo with the horseshoe,hammered,buffalo,horseshoe,buffalooar,Sentence,1,InstControl,,katebuffalohorseshoe_nopauses.mp3,katebuffalohorseshoeinstleft_context.png,katebuffalohorseshoemodright_context.png,katebuffalohorseshoemodright_context.png,katebuffalohorseshoeinstleft_context.png,2,mod,inst,R,L,405,2968,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalohorseshoemodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalohorseshoeinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katebuffalohorseshoe_nopauses.mp3?raw=true,0.293827268
C,Post,45,75,Kate jabbed the fox with the stick of celery,jabbed,fox,stick of celery,foxmallet,Sentence,1,InstControl,,katefoxcelery_nopauses.mp3,katefoxceleryinstright_context.png,katefoxcelerymodleft_context.png,katefoxceleryinstright_context.png,katefoxcelerymodleft_context.png,1,inst,mod,L,R,354,3370,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxceleryinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxcelerymodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefoxcelery_nopauses.mp3?raw=true,0.295948053
C,Post,46,121,Kate slapped the dolphin with the net,slapped,dolphin,net,dolphinmallet,Sentence,1,InstControl,,katedolphinnet_nopauses.mp3,katedolphinnetinstright_context.png,katedolphinnetmodleft_context.png,katedolphinnetinstright_context.png,katedolphinnetmodleft_context.png,1,inst,mod,L,R,390,2770,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinnetinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinnetmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katedolphinnet_nopauses.mp3?raw=true,0.302617292
C,Post,47,58,Tom tapped the gorilla with the boots,tapped,gorilla,boots,gorillaladle,Sentence,1,InstControl,,tomgorillaboots_nopauses.mp3,tomgorillabootsinstleft_context.png,tomgorillabootsmodright_context.png,tomgorillabootsmodright_context.png,tomgorillabootsinstleft_context.png,2,mod,inst,R,L,599,2729,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgorillabootsmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgorillabootsinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomgorillaboots_nopauses.mp3?raw=true,0.302981889
